"Symbol","Name","Index Country","Country of incorporation","Cross-list symbol","Cross-list exchange","Foreign filer?","GICS Sector","Market cap","Average Volume","Action"
"NVSEF","Novartis AG","Switzerland","Switzerland","VX:NOVN","Six Swiss - Blue Chips Segment","Yes","Health Care","$224,624,018,288","773","Analyze"
"NXE","Nexgen Energy Ltd.","Canada","","CT:NXE","Toronto Stock Exchange","Yes","Materials","$1,973,704,372","1,905,952","Analyze"
"NXGWF","Next Green Wave Holdings Inc.","Canada","","CF:NGW","Canadian Securities Exchange","No","Unknown","$114,707,270","117,922","Analyze"
"NXOPF","Nexoptic Technology Corp","Canada","","CV:NXO","TSX Venture Exchange","No","Information Technology","$26,513,307","182,122","Analyze"
"NXTTF","Namaste Technologies Inc.","Canada","","CV:N","TSX Venture Exchange","No","Consumer Discretionary","$57,457,875","186,856","Analyze"
"OGI","Organigram Holdings Inc.","Canada","","CV:OGI","TSX Venture Exchange","Yes","Health Care","$773,821,353","6,062,316","Analyze"
"OLNCF","Omni-Lite Industries Canada Inc.","Canada","","CV:OML","TSX Venture Exchange","No","Industrials","$7,543,813","5,000","Analyze"
"OMVJF","OMV AG","Austria","Austria","AV:OMV","Wiener Boerse Ag","Yes","Energy","$17,803,636,349","1,195","Analyze"
"OMZNF","Osisko Metals Incorporated","Canada","","CT:OM","Toronto Stock Exchange","No","Unknown","$59,283,468","50,565","Analyze"
"ONCY","Oncolytics Biotech Inc.","Canada","","CT:ONC","Toronto Stock Exchange","Yes","Health Care","$124,758,455","217,029","Analyze"
"OPSSF","Opsens Inc.","Canada","","CT:OPS","Toronto Stock Exchange","No","Health Care","$255,537,101","10,650","Analyze"
"OR","Osisko Gold Royalties Ltd","Canada","Canada","CT:OR","Toronto Stock Exchange","Yes","Consumer Staples","$2,267,358,919","506,475","Analyze"
"ORLA","Orla Mining Ltd.","Canada","","CT:OLA","Toronto Stock Exchange","Yes","Materials","$1,027,279,918","187,543","Analyze"
"ORRCF","Oroco Resource Corp","Canada","","CV:OCO","TSX Venture Exchange","No","Materials","$461,748,015","42,165","Analyze"
"ORZCF","Orezone Gold Corporation","Canada","","CV:ORE","TSX Venture Exchange","No","Materials","$338,824,922","100,179","Analyze"
"OTEX","Open Text Corporation","Canada","Canada","CT:OTEX","Toronto Stock Exchange","No","Information technology","$14,087,534,369","309,696","Analyze"
"OTSKF","Otsuka Holdings Co Ltd","Japan","","JT:4578","Tokyo Stock Exchange","No","Health Care","$23,205,961,667","2,016","Analyze"
"OYIEF","Ocean Yield ASA","Norway","","NO:OCY","Oslo Bors Asa","No","Energy","$569,681,369","236","Analyze"
"PAAS","Pan American Silver Corp.","Canada","Canada","CT:PAAS","Toronto Stock Exchange","Yes","Materials","$5,829,498,952","1,794,259","Analyze"
"PAFRF","Pan African Resources PLC","South Africa","","LN:PAF","London Stock Exchange","No","Materials","$507,274,071","2,250","Analyze"
"PBA","Pembina Pipeline Corp.","Canada","Canada","CT:PPL","Toronto Stock Exchange","Yes","Energy","$17,810,083,888","922,338","Analyze"
"PBTHF","PointsBet Holdings Ltd.","Australia","","AT:PBH","Asx - All Markets","No","Consumer Discretionary","$1,814,194,474","3,372","Analyze"
"PCLOF","PharmaCielo Ltd.","Canada","","CV:PCLO","TSX Venture Exchange","No","Unknown","$171,403,572","190,116","Analyze"
"PDS","Precision Drilling Corp","Canada","Canada","CT:PD","Toronto Stock Exchange","Yes","Energy","$433,059,034","71,171","Analyze"
"PGPEF","Publicis Groupe SA","France","","FP:PUB","Euronext Paris","No","Communication Services","$15,871,658,369","5,140","Analyze"
"PLG","Platinum Group Metals Ltd.","Canada","","CT:PTM","Toronto Stock Exchange","Yes","Materials","$232,343,052","584,223","Analyze"
"PLM","Polymet Mining Corporation","Canada","Canada","CT:POM","Toronto Stock Exchange","Yes","Materials","$320,789,878","110,899","Analyze"
"PLNHF","Planet 13 Holdings Inc.","Canada","","CF:PLTH","Canadian Securities Exchange","No","Consumer Discretionary","$1,040,846,351","325,528","Analyze"
"PLPRF","Plus Products Inc.","Canada","","CF:PLUS","Canadian Securities Exchange","No","Unknown","$16,602,600","438,903","Analyze"
"PLRTF","Plymouth Rock Technologies Inc.","Canada","","CF:PRT","Canadian Securities Exchange","No","Industrials","$16,373,161","349,859","Analyze"
"PLSDF","Pulse Seismic Inc.","Canada","","CT:PSD","Toronto Stock Exchange","No","Energy","$91,986,572","4,800","Analyze"
"POETF","POET Technologies Inc.","Canada","","CV:PTK","TSX Venture Exchange","No","Information Technology","$321,083,795","408,593","Analyze"
"PPCCF","PICC Property and Casualty Company","China","","HK:2328","Hong Kong Exchange","No","Financials","$5,622,924,610","0","Analyze"
"PPTA","Perpetua Resources Corp.","Canada","Canada","CT:PPTA","Toronto Stock Exchange","Yes","Materials","$308,241,762","98,099","Analyze"
"PRMNF","Prime Mining Corp.","Canada","","CV:PRYM","TSX Venture Exchange","No","Materials","$291,693,559","814","Analyze"
"PROBF","Probe Metals Inc.","Canada","","CV:PRB","TSX Venture Exchange","No","Materials","$197,808,143","64,689","Analyze"
"PROF","Profound Medical Corp.","Canada","","CT:PRN","Toronto Stock Exchange","Yes","Health Care","$281,248,168","65,385","Analyze"
"PSHIF","PetroShale Inc.","Canada","","CV:PSH","TSX Venture Exchange","No","Energy","$43,209,145","100","Analyze"
"PTOTF","Patriot One Technologies Inc.","Canada","","CT:PAT","Toronto Stock Exchange","No","Unknown","$57,141,221","42,193","Analyze"
"PTQQF","Protech Home Medical Corp","Canada","","CV:PTQ","TSX Venture Exchange","No","Health Care","$818,483,359","298,157","Analyze"
"PTRUF","Petrus Resources Ltd.","Canada","","CT:PRQ","Toronto Stock Exchange","No","Energy","$24,526,562","6,500","Analyze"
"PUFLF","Purifloh Limited","Australia","","AT:PO3","Asx - All Markets","No","Unknown","$45,488,408","0","Analyze"
"PVG","Pretium Resources Inc","Canada","Canada","CT:PVG","Toronto Stock Exchange","Yes","Materials","$1,754,827,771","1,069,377","Analyze"
"PXCLF","Phoenix Copper Ltd.","United Kingdom","","LN:PXC","","No","Unknown","$108,904,233","2,900","Analyze"
"PYR","PyroGenesis Canada Inc.","Canada","","CT:PYR","Toronto Stock Exchange","Yes","Industrials","$651,125,530","122,805","Analyze"
"PYRNF","PyroGenesis Canada Inc.","Canada","","CV:PYR","TSX Venture Exchange","No","Industrials","$1,230,618,464","129,772","Analyze"
"QSR","Restaurant Brands International Inc.","Canada","Canada","CT:QSR","Toronto Stock Exchange","No","Consumer Discretionary","$20,637,214,609","1,344,236","Analyze"
"QTRHF","Quarterhill Inc","Canada","","CT:QTRH","Toronto Stock Exchange","No","Information Technology","$220,051,633","5,082","Analyze"
"RACE","Ferrari N.V.","Italy","The Netherlands","IM:RACE","Borsa Italiana S.P.A.","Yes","Consumer Discretionary","$39,194,264,864","270,903","Analyze"
"RBA","Ritchie Bros Auctioneers Inc","Canada","","CT:RBA","Toronto Stock Exchange","No","Industrials","$6,529,244,937","233,782","Analyze"
"RCI","Rogers Communication","Canada","","CT:RCI-B","Toronto Stock Exchange","Yes","Communication Services","$20,094,180,414","277,820","Analyze"
"RDDTF","Radient Technologies Inc","Canada","","CV:RTI","TSX Venture Exchange","No","Unknown","$20,704,676","28,100","Analyze"
"REAXF","The Real Brokerage Inc.","Canada","","CV:REAX","TSX Venture Exchange","No","Real Estate","$238,733,802","0","Analyze"
"RECAF","Reconnaissance Energy Africa Ltd.","Canada","","CV:RECO","TSX Venture Exchange","No","Energy","$1,468,124,531","463,557","Analyze"
"REPYF","Repsol SA","Spain","","SM:REP","Bolsa De Madrid","No","Energy","$16,505,041,749","0","Analyze"
"REZZF","Global Battery Metals Ltd.","Canada","","CV:GBML","TSX Venture Exchange","No","Materials","$12,060,913","97,576","Analyze"
"RFP","Resolute Forest Products Inc","Canada","USA","CT:RFP","Toronto Stock Exchange","No","Materials","$927,738,802","679,180","Analyze"
"RHHBF","Roche Holding AG","Switzerland","","SE:RO","Six Swiss Exchange","No","Health Care","$71,182,400,000","2,198","Analyze"
"RHHVF","Roche Holding AG Dividends Rights Certificate","Switzerland","Switzerland","VX:ROG","Six Swiss - Blue Chips Segment","Yes","Health Care","$276,036,814,574","3,907","Analyze"
"RIOFF","Rio2 Ltd.","Canada","","CV:RIO","TSX Venture Exchange","No","Unknown","$119,781,196","164,745","Analyze"
"RKUNF","Rakuten Inc","Japan","","JT:4755","Tokyo Stock Exchange","No","Consumer Discretionary","$18,008,441,794","0","Analyze"
"RLFTF","Relief Therapeutics Holding AG","Switzerland","","SW:RLF","","No","Health Care","$608,320,459","4,639,333","Analyze"
"RLXXF","RELX PLC","United Kingdom","United Kingdom","LN:REL","London Stock Exchange","Yes","Industrials","$57,017,178,481","2,428","Analyze"
"ROGFF","Roxgold Inc.","Canada","","CT:ROXG","Toronto Stock Exchange","No","Materials","$577,398,117","181,695","Analyze"
"ROMJF","Rubicon Organics Inc.","Canada","","CF:ROMJ","Canadian Securities Exchange","No","Unknown","$107,828,993","2,051","Analyze"
"RY","Royal Bank Of Canada","Canada","","CT:RY","Toronto Stock Exchange","Yes","Financials","$143,089,720,800","1,110,309","Analyze"
"RYES","Rise Gold Corp","Canada","","CF:RISE","Canadian Securities Exchange","No","Materials","$13,093,353","9,017","Analyze"
"SA","Seabridge Gold","Canada","","CT:SEA","Toronto Stock Exchange","Yes","Materials","$1,378,622,215","201,432","Analyze"
"SAND","Sandstorm Gold Ltd","Canada","","CT:SSL","Toronto Stock Exchange","Yes","Industrials","$1,520,146,813","1,042,846","Analyze"
"SAPGF","SAP SE","Germany","","GF:SAP","Frankfurt Stock Exchange","No","Information Technology","$176,068,890,588","0","Analyze"
"SBSW","D/B/A Sibanye-Stillwater Limited","South Africa","USA","SJ:SSW","Johannesburg Stock Exchange","Yes","Materials","$12,628,510,584","2,169,968","Analyze"
"SCR","Score Media and Gaming Inc.","Canada","","CT:SCR","Toronto Stock Exchange","Yes","Communication Services","$927,336,051","395,681","Analyze"
"SEOVF","Sernova Corp.","Canada","","CV:SVA","TSX Venture Exchange","No","Health Care","$289,126,939","34,720","Analyze"
"SGSVF","Sabina Gold & Silver Corp.","Canada","","CT:SBB","Toronto Stock Exchange","No","Materials","$520,360,128","333,515","Analyze"
"SHECF","Shin-Etsu Chemical Co Ltd","Japan","","JT:4063","Tokyo Stock Exchange","No","Materials","$69,145,190,498","804","Analyze"
"SHMDF","Shimano Inc","Japan","","JT:7309","Tokyo Stock Exchange","No","Consumer Discretionary","$24,153,560,000","0","Analyze"
"SHOP","Shopify Inc. Class A","Canada","Canada","CT:SHOP","Toronto Stock Exchange","Yes","Information Technology","$185,426,660,370","1,399,209","Analyze"
"SHRMF","Champignon Brands Inc.","Canada","","CF:SHRM","Canadian Securities Exchange","No","Unknown","$67,684,606","819,385","Analyze"
"SII","Sprott Inc.","Canada","","CT:SII","Toronto Stock Exchange","Yes","Financials","$928,961,534","76,459","Analyze"
"SILEF","Silver Elephant Mining Corp","Canada","","CT:ELEF","Toronto Stock Exchange","No","Unknown","$43,029,890","1,560,339","Analyze"
"SILV","Silvercrest Metals Inc.","Canada","","CT:SIL","Toronto Stock Exchange","Yes","Materials","$1,238,578,342","688,305","Analyze"
"SILXF","Silex Systems Limited","Australia","","AT:SLX","Asx - All Markets","No","Unknown","$115,805,947","1,000","Analyze"
"SJR","Shaw Communications Inc. (Class B)","Canada","","CT:SJR-B","Toronto Stock Exchange","Yes","Consumer Discretionary","$13,817,290,323","195,439","Analyze"
"SKREF","Skeena Resources Limited","Canada","","CV:SKE","TSX Venture Exchange","No","Unknown","$816,522,148","282,633","Analyze"
"SLF","Sun Life Financial Inc.","Canada","","CT:SLF","Toronto Stock Exchange","Yes","Financials","$30,352,365,483","581,285","Analyze"
"SLSSF","Solaris Resources Inc.","Canada","","CT:SLS","Toronto Stock Exchange","No","Materials","$1,300,163,641","0","Analyze"
"SLVRF","Silver One Resources Inc.","Canada","","CV:SVE","TSX Venture Exchange","No","Materials","$95,714,226","330,347","Analyze"
"SNANF","Sona Nanotech Inc.","Canada","","CF:SONA","Canadian Securities Exchange","No","Unknown","$15,043,902","6,174","Analyze"
"SNEJF","Sony Corporation","Japan","","JT:6758","Tokyo Stock Exchange","No","Consumer Discretionary","$131,654,536,736","0","Analyze"
"SNYNF","Sanofi SA","France","France","FP:SAN","Euronext Paris","Yes","Health Care","$129,925,883,362","31,806","Analyze"
"SPHRF","Starpharma Holdings Limited","Australia","","AT:SPL","Asx - All Markets","No","Health Care","$384,799,537","0","Analyze"
"SPRWF","Supreme Cannabis Company Inc","Canada","","CT:FIRE","Toronto Stock Exchange","No","Health Care","$204,466,330","303,044","Analyze"
"SRAFF","Sandfire Resources America Inc.","Canada","","CV:SFR","TSX Venture Exchange","No","Materials","$175,283,204","246,054","Analyze"
"SROYF","Sailfish Royalty Corp.","Canada","","CV:FISH","TSX Venture Exchange","No","Materials","$77,418,105","222","Analyze"
"SSEZF","SSE PLC","United Kingdom","United Kingdom","LN:SSE","London Stock Exchange","Yes","Utilities","$20,619,245,006","0","Analyze"
"SSRM","SSR Mining Inc.","Canada","Canada","CT:SSRM","Toronto Stock Exchange","Yes","Materials","$3,501,877,880","1,267,757","Analyze"
"STKL","Sunopta Inc","Canada","","CT:SOY","Toronto Stock Exchange","No","Consumer Staples","$1,129,094,206","541,147","Analyze"
"STLHF","Standard Lithium Ltd.","Canada","","CV:SLL","TSX Venture Exchange","No","Unknown","$780,649,103","45,548","Analyze"
"STMEF","STMicroelectronics N.V.","Italy","","FP:STM","Euronext Paris","No","Information Technology","$37,597,738,469","0","Analyze"
"STN","Stantec Inc","Canada","","CT:STN","Toronto Stock Exchange","Yes","Industrials","$5,140,677,348","42,883","Analyze"
"STOHF","Equinor Asa","Norway","","NO:EQNR","Oslo Bors Asa","No","Energy","$64,469,639,722","0","Analyze"
"SU","Suncor Energy  Inc.","Canada","Canada","CT:SU","Toronto Stock Exchange","Yes","Energy","$28,715,475,067","7,354,242","Analyze"
"SVKEF","Skandinaviska Enskilda Banken AB Class A","Sweden","Sweden","SS:SEB-A","Nasdaq Omx Nordic","Yes","Financials","$28,709,355,260","0","Analyze"
"SVM","Silvercorp Metals Inc.","Canada","","CT:SVM","Toronto Stock Exchange","Yes","Materials","$866,584,018","838,799","Analyze"
"SVTRF","Severn Trent PLC","United Kingdom","United Kingdom","LN:SVT","London Stock Exchange","Yes","Utilities","$9,553,159,791","0","Analyze"
"SVYSF","Solvay SA","Belgium","","BB:SOLB","Nyse Euronext - Euronext Brussels","No","Materials","$13,656,787,147","0","Analyze"
"SWIR","Sierra Wireless Inc","Canada","Canada","CT:SW","Toronto Stock Exchange","Yes","Information Technology","$720,604,957","175,281","Analyze"
"SYTA","Siyata Mobile, Inc.","Canada","","CV:SIM","TSX Venture Exchange","Yes","Communication Services","$6,646,004","20,422","Analyze"
"TAC","TransAlta Corporation","Canada","","CT:TA","Toronto Stock Exchange","Yes","Utilities","$2,929,341,721","223,217","Analyze"
"TAKOF","Drone Delivery Canada Corp","Canada","","CV:FLT","TSX Venture Exchange","No","Unknown","$228,206,992","44,639","Analyze"
"TAOIF","TAG Oil Ltd","Canada","","CT:TAO","Toronto Stock Exchange","No","Energy","$24,736,218","0","Analyze"
"TATYF","Tate & Lyle PLC","United Kingdom","","LN:TATE","London Stock Exchange","No","Consumer Staples","$4,731,748,000","0","Analyze"
"TBPMF","Tetra Bio-Pharma Inc.","Canada","","CV:TBP","TSX Venture Exchange","No","Health Care","$84,363,556","390,085","Analyze"
"TBXXF","Turmalina Metals Corp.","Canada","","CV:TBX","TSX Venture Exchange","No","Unknown","$48,167,653","47,054","Analyze"
"TCNNF","Trulieve Cannabis Corp.","Canada","","CT:TRUL","Toronto Stock Exchange","No","Health Care","$1,880,871,002","175,718","Analyze"
"TCTZF","Tencent Holdings Limited","China","","HK:0700","Hong Kong Exchange","No","Communication Services","$590,877,107,150","93,099","Analyze"
"TD","The Toronto-Dominion Bank","Canada","","CT:TD","Toronto Stock Exchange","Yes","Financials","$120,169,904,809","1,702,659","Analyze"
"TECK","Teck Resources Ltd","Canada","Canada","CT:TECK-B","Toronto Stock Exchange","Yes","Materials","$11,730,596,777","4,070,129","Analyze"
"TEFOF","Telefonica SA","Spain","","SM:TEF","Bolsa De Madrid","No","Communication Services","$26,329,709,878","0","Analyze"
"TFII","TFI International Inc.","Canada","","CT:TFII","Toronto Stock Exchange","Yes","Industrials","$10,366,952,839","258,665","Analyze"
"TGA","Transglobe Energy Corporation","Canada","","CT:TGL","Toronto Stock Exchange","Yes","Energy","$114,616,472","203,475","Analyze"
"TGB","Taseko Mines Limited","Canada","","CT:TKO","Toronto Stock Exchange","Yes","Materials","$499,613,296","1,549,032","Analyze"
"TGIFF","1933 Industries Inc.","Canada","","CF:TGIF","Canadian Securities Exchange","No","Unknown","$24,415,482","589,587","Analyze"
"TGODF","Green Organic Dutchman Holdings Ltd.","Canada","","CT:TGOD","Toronto Stock Exchange","No","Health Care","$137,298,397","2,929,777","Analyze"
"THCBF","THC BioMed Intl. Ltd.","Canada","","CF:THC","Canadian Securities Exchange","No","Health Care","$14,008,197","25,974","Analyze"
"THM","International Tower Hill Mines Ltd","Canada","","CT:ITH","Toronto Stock Exchange","No","Materials","$196,857,266","106,880","Analyze"
"THNPF","Technip Energies Nv","France","","FP:TE","Euronext Paris","No","Energy","$2,442,056,893","1,410","Analyze"
"THTX","Theratechnologies Inc.","Canada","","CT:TH","Toronto Stock Exchange","Yes","Health Care","$334,338,969","179,943","Analyze"
"TIXT","TELUS International (Cda) Inc.","Canada","","CT:TIXT","Toronto Stock Exchange","Yes","Information Technology","$1,527,846,530","230,890","Analyze"
"TKGBF","Turkiye Garanti Bankasi AS","Turkey","","TI:GARAN","Istanbul Stock Exchange","No","Financials","$3,738,000,000","0","Analyze"
"TLLTF","TILT Holdings Inc.","Canada","","CF:TILT","Canadian Securities Exchange","No","Unknown","$155,165,421","441,696","Analyze"
"TMDI","Titan Medical Inc.","Canada","","CT:TMD","Toronto Stock Exchange","Yes","Health Care","$187,292,350","494,114","Analyze"
"TMNSF","Temenos Group AG","Switzerland","","SE:TEMN","Six Swiss Exchange","No","Information Technology","$12,098,328,938","0","Analyze"
"TNYBF","Tinley Beverage Company Inc.","Canada","","CF:TNY","Canadian Securities Exchange","No","Unknown","$24,800,453","10,790","Analyze"
"TPRFF","Gran Colombia Gold Corp.","Canada","","CV:GCM","TSX Venture Exchange","No","Materials","$373,490,934","86,427","Analyze"
"TRBMF","Torq Resources Inc.","Canada","","CV:TORQ","TSX Venture Exchange","No","Materials","$51,531,125","6,700","Analyze"
"TREVF","Trevali Mining Corporation","Canada","","CT:TV","Toronto Stock Exchange","No","Materials","$178,036,485","32,593","Analyze"
"TRI","Thomson Reuters Corporation","Canada","Canada","CT:TRI","Toronto Stock Exchange","Yes","Industrials","$52,153,817,765","273,402","Analyze"
"TRIL","Trillium Therapeutics Inc.","Canada","Canada","CT:TRIL","Toronto Stock Exchange","Yes","Health Care","$672,609,674","814,429","Analyze"
"TRP","TransCanada Corporation","Canada","Canada","CT:TRP","Toronto Stock Exchange","Yes","Energy","$47,305,104,076","1,108,302","Analyze"
"TRQ","Turquoise Hill Resources Ltd","Canada","Canada","CT:TRQ","Toronto Stock Exchange","Yes","Materials","$3,259,949,425","1,060,703","Analyze"
"TRSSF","TerrAscend Corp.","Canada","","CF:TER","Canadian Securities Exchange","No","Unknown","$1,555,141,495","93,983","Analyze"
"TSCDF","Tesco PLC","United Kingdom","","LN:TSCO","London Stock Exchange","No","Consumer Staples","$25,128,050,415","0","Analyze"
"TSEM","Tower Semiconductor Ltd.","Israel","","IT:TSEM","Tel Aviv Stock Exchange","Yes","Information Technology","$3,172,988,087","301,990","Analyze"
"TSRMF","Treasury Metals Inc.","Canada","","CT:TML","Toronto Stock Exchange","No","Materials","$95,036,045","78,051","Analyze"
"TTFNF","Total SA","France","France","FP:FP","Euronext Paris","Yes","Energy","$115,069,910,158","305","Analyze"
"TU","Telus Corporation","Canada","","CT:T","Toronto Stock Exchange","Yes","Communication Services","$29,904,606,921","909,423","Analyze"
"UCBJF","UCB SA","Belgium","Belgium","BB:UCB","Nyse Euronext - Euronext Brussels","Yes","Health Care","$20,498,951,297","101","Analyze"
"UFS","Domtar Corp","Canada","USA","CT:UFS","Toronto Stock Exchange","No","Materials","$2,756,458,694","548,181","Analyze"
"USAS","Americas Silver Corporation","Canada","","CT:USA","Toronto Stock Exchange","Yes","Materials","$181,007,223","796,221","Analyze"
"UUGWF","United Utilities Group PLC","United Kingdom","United Kingdom","LN:UU","London Stock Exchange","Yes","Utilities","$10,132,861,891","0","Analyze"
"UURAF","Ucore Rare Metals Inc.","Canada","","CT:UCU","Toronto Stock Exchange","No","Materials","$35,340,574","91,931","Analyze"
"UUUU","Energy Fuels Inc","Canada","Canada","CT:EFR","Toronto Stock Exchange","No","Energy","$691,809,558","2,419,471","Analyze"
"VCISF","VINCI SA","France","France","FP:DG","Euronext Paris","Yes","Industrials","$63,350,138,178","0","Analyze"
"VET","Vermilion Energy Inc.","Canada","Canada","CT:VET","Toronto Stock Exchange","Yes","Energy","$1,141,342,478","1,801,412","Analyze"
"VEXTF","Vext Science Inc.","Canada","","CF:VEXT","Canadian Securities Exchange","No","Unknown","$40,113,651","5,073","Analyze"
"VFF","Village Farms International, Inc.","Canada","","CT:VFF","Toronto Stock Exchange","No","Consumer Staples","$770,781,954","731,669","Analyze"
"VITFF","Victoria Gold Corp","Canada","","CT:VGCX","Toronto Stock Exchange","No","Materials","$920,616,385","66,532","Analyze"
"VIVEF","Vivendi SA","France","France","FP:VIV","Euronext Paris","Yes","Communication Services","$37,648,247,719","1,100","Analyze"
"VLNCF","Valens GroWorks Corp.","Canada","","CV:VLNS","TSX Venture Exchange","No","Unknown","$392,403,412","293,115","Analyze"
"VQSLF","VIQ Solutions Inc.","Canada","","CV:VQS","TSX Venture Exchange","No","Information Technology","$166,006,740","3,425","Analyze"
"VREOF","Vireo Health International Inc.","Canada","","CF:VREO","Canadian Securities Exchange","No","Unknown","$174,762,727","345,433","Analyze"
"VRNDF","Delta 9 Cannabis Inc.","Canada","","CT:DN","Toronto Stock Exchange","No","Health Care","$42,050,394","27,974","Analyze"
"VRNOF","Verano Hldgs Corp","Canada","","CF:VRNO","Canadian Securities Exchange","No","Consumer Discretionary","$1,937,302,008","138,843","Analyze"
"VRYYF","The Very Good Food Company Inc","Canada","","CF:VERY","Canadian Securities Exchange","No","Consumer Staples","$254,000,771","0","Analyze"
"VS","Versus Systems Inc.","Canada","","CF:VS","Canadian Securities Exchange","Yes","Communication Services","$50,353,390","32,898","Analyze"
"VSQTF","Victory Square Technologies Inc","Canada","","CF:VST","Canadian Securities Exchange","No","Unknown","$36,626,696","132,331","Analyze"
"VVCIF","VIVO Cannabis Inc.","Canada","","CT:VIVO","Toronto Stock Exchange","No","Health Care","$34,790,126","90,691","Analyze"
"VYGVF","Voyager Digital (Canada) Ltd.","Canada","","CF:VYGR","Canadian Securities Exchange","No","Information Technology","$1,943,666,925","2,349,822","Analyze"
"WCN","Waste Connections Inc","Canada","Canada","CT:WCN","Toronto Stock Exchange","No","Industrials","$32,901,947,711","563,605","Analyze"
"WDDMF","WeedMD Inc.","Canada","","CV:WMD","TSX Venture Exchange","No","Unknown","$56,698,907","50,984","Analyze"
"WFTSF","Wavefront Technology Solutions Inc","Canada","","CV:WEE","TSX Venture Exchange","No","Energy","$3,529,175","5,500","Analyze"
"WMLLF","Wealth Minerals Ltd.","Canada","","CV:WML","TSX Venture Exchange","No","Unknown","$70,892,466","306,095","Analyze"
"WOSCF","Ferguson Plc","United Kingdom","","LN:FERG","London Stock Exchange","No","Industrials","$27,163,870,063","0","Analyze"
"WOWMF","Wow Unlimited Media Inc.","Canada","","CV:WOW","TSX Venture Exchange","No","Unknown","$22,452,894","0","Analyze"
"WPM","Wheaton Precious Metals Corp.","Canada","Canada","CT:WPM","Toronto Stock Exchange","Yes","Materials","$20,653,953,200","1,691,353","Analyze"
"WPRT","Westport Fuel Systems Inc","Canada","","CT:WPRT","Toronto Stock Exchange","Yes","Consumer Discretionary","$623,219,748","1,505,010","Analyze"
"WRN","Western Copper And Gold Corporation","Canada","","CT:WRN","Toronto Stock Exchange","Yes","Materials","$286,094,638","387,070","Analyze"
"WSTRF","Western Uranium & Vanadium Corp.","Canada","","CF:WUC","Canadian Securities Exchange","No","Unknown","$85,490,310","23,992","Analyze"
"XEBEF","Xebec Adsorption Inc.","Canada","","CV:XBC","TSX Venture Exchange","No","Industrials","$482,114,039","14,639","Analyze"
"XIACF","Xiaomi Corp","Hong Kong","","HK:1810","Hong Kong Exchange","No","Information Technology","$68,024,177,730","0","Analyze"
"YNDX","Yandex N.V.","Russia","The Netherlands","RX:YNDX","Standard-Classica-Forts","Yes","Information Technology","$22,089,063,000","934,520","Analyze"
"YZCHF","Yanzhou Coal Mining Company Limited H Shares","China","","HK:1171","Hong Kong Exchange","No","Energy","$2,933,552,700","0","Analyze"
"ZFSVF","Zurich Insurance Group Ltd","Switzerland","","VX:ZURN","Six Swiss - Blue Chips Segment","No","Financials","$61,538,208,303","147","Analyze"
"ZOM","Zomedica Pharmaceuticals Corp.","Canada","Canada","CV:ZOM","","No","Health Care","$610,449,177","18,359,588","Analyze"